Bike number,Bike serviceable,Station number,Station name,Station capacity
W00674,f,,,
W00675,t,31106,Calvert & Biltmore St NW,9
W00676,t,31708,Anacostia Ave & Benning Rd NE / River Terrace ,21
W00677,t,31624,North Capitol St & F St NW,24
W00678,t,31226,34th St & Wisconsin Ave NW,9
W00679,t,31628,1st & K St SE,23
W00680,t,31058,S Oakland St & Columbia Pike,12
W00681,t,31623,Columbus Circle / Union Station,51
W00682,t,31004,Aurora Hills Community Ctr/18th & Hayes St,19
W00683,t,31020,Wilson Blvd & Franklin Rd,8
W00684,t,31622,13th & D St NE,35
W00687,t,32063,Amherst Ave & Elkins St,12
W00688,t,31109,7th & T St NW,29
W00689,t,31016,Clarendon Blvd & Pierce St,17
W00690,t,32047,Rockville Metro West,11
W00691,t,31243,Maryland & Independence Ave SW,15
W00692,t,31413,3rd & Underwood St NW,10
W00693,t,31024,Virginia Square Metro / N Monroe St & 9th St N,20
W00694,t,31010,S Glebe & Potomac Ave,15
W00695,t,31300,Van Ness Metro / UDC,9
W00696,f,,,
W00697,t,31109,7th & T St NW,29
W00698,t,31606,Potomac & Pennsylvania Ave SE,15
W00699,t,32027,Battery Ln & Trolley Trail,15
W00700,t,31623,Columbus Circle / Union Station,51
W00701,t,31038,Glebe Rd & 11th St N,12
W00702,t,31637,North Capitol St & G Pl NE,6
W00703,t,31203,14th & Rhode Island Ave NW,20
W00704,t,32014,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,8
W00705,t,31049,Utah St & 11th St N ,10
W00706,f,,,
W00707,t,31041,Prince St & Union St,23
W00708,t,31212,21st & M St NW,17
